id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;João;Batista;Isabelly_Batista@live.com;owlishly woefully clearly;2024-06-10T22:39:07;25542;7278
2;Raul;Braga;Fabricia.Santos33@yahoo.com;viciously bleak;2024-06-10T22:14:03;20678;15770
3;Calebe;Moreira;Mariana_Macedo14@live.com;reasonable;2024-06-11T01:34:17;24978;20120
4;Janaína;Reis;Ricardo_Santos30@bol.com.br;bowdlerise;2024-06-10T20:19:32;13305;13116
5;Guilherme;Batista;Silas31@hotmail.com;faithfully between hoon;2024-06-11T06:13:37;980;15442
6;Alessandra;Xavier;Alexandre_Moreira@hotmail.com;excepting before;2024-06-11T10:53:41;21179;10254
7;Nataniel;Moraes;Eloa.Moreira@gmail.com;once sunny;2024-06-11T11:37:35;6281;6574
8;João Miguel;Moraes;Salvador99@hotmail.com;bandwidth lest ack;2024-06-10T20:45:58;12457;25833
9;Morgana;Franco;Kleber.Pereira@gmail.com;till well;2024-06-11T17:44:20;29968;19384
10;Joaquim;Moreira;Raul_Albuquerque@live.com;pish quaintly;2024-06-11T07:52:28;26148;31845
